comment,chat_luong,dong_goi,van_chuyen,gia_ca,clean_comment
Chất lượng sản phẩm: dày dặn... màu tô khác hình,negative,negative,neutral,neutral,chất lượng sản phẩm dày dặn màu tô khác hình
"Chưa dùng... đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral,chưa dùng đóng gói cẩn thận giao nhanh
Bài viết JISOO...,neutral,neutral,neutral,neutral,bài viết jisoo
"Đẹp, màu xinh, khó tô",negative,neutral,neutral,neutral,đẹp màu xinh khó tô
Sản phẩm móp méo,negative,negative,neutral,neutral,sản phẩm móp méo
Sản phẩm ok nhưng màu tối,positive,neutral,neutral,neutral,sản phẩm ok nhưng màu tối
Rẻ đẹp xứng giá,positive,neutral,neutral,positive,rẻ đẹp xứng giá
Hộp móp nhưng sp ok,negative,negative,neutral,neutral,hộp móp nhưng sản phẩm ok
Bị rách nhẹ,negative,negative,neutral,neutral,bị rách nhẹ
"Giao nhanh, thiếu sơn",negative,negative,positive,neutral,giao nhanh thiếu sơn
Màu sai hoàn toàn,negative,negative,neutral,neutral,màu sai hoàn toàn
Màu không đúng mẫu,negative,negative,neutral,neutral,màu không đúng mẫu
Đóng gói kỹ nhưng cọ lỗi,negative,positive,neutral,neutral,đóng gói kỹ nhưng cọ lỗi
Màu không giống,negative,negative,neutral,neutral,màu không giống
Màu sai nhưng giá rẻ,negative,negative,neutral,positive,màu sai nhưng giá rẻ
Đóng gói tốt nhưng màu ít,positive,positive,neutral,neutral,đóng gói tốt nhưng màu ít
Giao sai hình,negative,negative,neutral,neutral,giao sai hình
Màu khác xa,negative,negative,neutral,neutral,màu khác xa
Màu nhạt,negative,neutral,neutral,neutral,màu nhạt
Đẹp nhưng hơi sai,positive,neutral,neutral,neutral,đẹp nhưng hơi sai
Shop hỗ trợ tốt,positive,neutral,neutral,neutral,shop hỗ trợ tốt
Giá ổn nhưng giao sai,negative,negative,neutral,positive,giá ổn nhưng giao sai
Giao nhầm,negative,negative,neutral,neutral,giao nhầm
Cọ lỗi,negative,neutral,neutral,neutral,cọ lỗi
Tranh rách + shop không giữ lời,negative,neutral,neutral,neutral,tranh rách shop không giữ lời
Lỗi màu,negative,neutral,neutral,neutral,lỗi màu
Màu khô,negative,neutral,neutral,neutral,màu khô
Chất lượng kém + giao lâu,negative,neutral,negative,neutral,chất lượng kém giao lâu
Màu xấu,negative,neutral,neutral,neutral,màu xấu
Chất lượng không đồng đều,negative,neutral,neutral,neutral,chất lượng không đồng đều
Rách nhẹ,negative,negative,neutral,neutral,rách nhẹ
Lỗi sọc,negative,neutral,neutral,neutral,lỗi sọc
Thiếu cọ,negative,negative,neutral,neutral,thiếu cọ
Giá rẻ nhưng tệ,negative,neutral,neutral,negative,giá rẻ nhưng tệ
Khó tô,negative,neutral,neutral,neutral,khó tô
Móc khoá lỗi,negative,neutral,neutral,neutral,móc khoá lỗi
Thiếu quà tặng,negative,negative,neutral,neutral,thiếu quà tặng
Màu sai,negative,negative,neutral,neutral,màu sai
Không nhận được hàng,negative,neutral,negative,neutral,không nhận được hàng
Rất tệ,negative,neutral,neutral,neutral,rất tệ
Bị lỗi,negative,neutral,neutral,neutral,bị lỗi
Không rõ số,negative,neutral,neutral,neutral,không rõ số
Spam,neutral,neutral,neutral,neutral,spam
Đẹp nhưng sai màu,negative,negative,neutral,neutral,đẹp nhưng sai màu
Tốt nhưng cọ lỗi + mùi,negative,neutral,neutral,neutral,tốt nhưng cọ lỗi mùi
"Không đúng mô tả, màu khác, mùi khó chịu",negative,negative,neutral,neutral,không đúng mô tả màu khác mùi khó chịu
Màu khác nhiều so với ảnh,negative,negative,neutral,neutral,màu khác nhiều so với ảnh
"Hàng xấu, thất vọng",negative,neutral,neutral,neutral,hàng xấu thất vọng
Nội dung không liên quan,neutral,neutral,neutral,neutral,nội dung không liên quan
"3 tranh ok, 1 tranh lỗi",negative,neutral,neutral,neutral,3 tranh ok 1 tranh lỗi
"Đóng gói sơ sài, giao lâu",negative,negative,negative,neutral,đóng gói sơ sài giao lâu
"Nhựa, tô xấu",negative,neutral,neutral,neutral,nhựa tô xấu
"Màu nhạt, không giống",negative,neutral,neutral,neutral,màu nhạt không giống
Nội dung lỗi,negative,neutral,neutral,neutral,nội dung lỗi
Đẹp nhưng viền khó tô,negative,neutral,neutral,neutral,đẹp nhưng viền khó tô
