comment,aspect,sentiment
Chất lượng sản phẩm: dày dặn... màu tô khác hình,chat_luong,positive
Chất lượng sản phẩm: dày dặn... màu tô khác hình,dong_goi,positive
Chất lượng sản phẩm: dày dặn... màu tô khác hình,van_chuyen,positive
Chất lượng sản phẩm: dày dặn... màu tô khác hình,gia_ca,neutral
Chất lượng sản phẩm: dày dặn... màu tô khác hình,overall,neutral
"Chưa dùng... đóng gói cẩn thận, giao nhanh",chat_luong,neutral
"Chưa dùng... đóng gói cẩn thận, giao nhanh",dong_goi,positive
"Chưa dùng... đóng gói cẩn thận, giao nhanh",van_chuyen,positive
"Chưa dùng... đóng gói cẩn thận, giao nhanh",gia_ca,neutral
"Chưa dùng... đóng gói cẩn thận, giao nhanh",overall,positive
Bài viết JISOO...,chat_luong,neutral
Bài viết JISOO...,dong_goi,neutral
Bài viết JISOO...,van_chuyen,neutral
Bài viết JISOO...,gia_ca,neutral
Bài viết JISOO...,overall,neutral
"Đẹp, màu xinh, khó tô",chat_luong,positive
"Đẹp, màu xinh, khó tô",dong_goi,neutral
"Đẹp, màu xinh, khó tô",van_chuyen,neutral
"Đẹp, màu xinh, khó tô",gia_ca,neutral
"Đẹp, màu xinh, khó tô",overall,positive
Sản phẩm móp méo,chat_luong,negative
Sản phẩm móp méo,dong_goi,neutral
Sản phẩm móp méo,van_chuyen,neutral
Sản phẩm móp méo,gia_ca,neutral
Sản phẩm móp méo,overall,negative
Sản phẩm ok nhưng màu tối,chat_luong,neutral
Sản phẩm ok nhưng màu tối,dong_goi,neutral
Sản phẩm ok nhưng màu tối,van_chuyen,neutral
Sản phẩm ok nhưng màu tối,gia_ca,neutral
Sản phẩm ok nhưng màu tối,overall,neutral
Rẻ đẹp xứng giá,chat_luong,positive
Rẻ đẹp xứng giá,dong_goi,neutral
Rẻ đẹp xứng giá,van_chuyen,neutral
Rẻ đẹp xứng giá,gia_ca,positive
Rẻ đẹp xứng giá,overall,positive
Hộp móp nhưng sp ok,chat_luong,positive
Hộp móp nhưng sp ok,dong_goi,negative
Hộp móp nhưng sp ok,van_chuyen,positive
Hộp móp nhưng sp ok,gia_ca,positive
Hộp móp nhưng sp ok,overall,positive
Bị rách nhẹ,chat_luong,negative
Bị rách nhẹ,dong_goi,neutral
Bị rách nhẹ,van_chuyen,neutral
Bị rách nhẹ,gia_ca,neutral
Bị rách nhẹ,overall,negative 
"Giao nhanh, thiếu sơn",chat_luong,negative
"Giao nhanh, thiếu sơn",dong_goi,positive
"Giao nhanh, thiếu sơn",van_chuyen,positive
"Giao nhanh, thiếu sơn",gia_ca,neutral
"Giao nhanh, thiếu sơn",overall,negative
Màu sai hoàn toàn,chat_luong,negative
Màu sai hoàn toàn,dong_goi,neutral
Màu sai hoàn toàn,van_chuyen,neutral
