comment,chat_luong,dong_goi,van_chuyen,gia_ca
"Chất lượng sản phẩm: dày dặn... màu tô khác hình",negative,negative,neutral,neutral
"Chưa dùng... đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral
"Bài viết JISOO...",neutral,neutral,neutral,neutral
"Đẹp, màu xinh, khó tô",negative,neutral,neutral,neutral
"Sản phẩm móp méo",negative,negative,neutral,neutral
"Sản phẩm ok nhưng màu tối",positive,neutral,neutral,neutral
"Rẻ đẹp xứng giá",positive,neutral,neutral,positive
"Hộp móp nhưng sp ok",negative,negative,neutral,neutral
"Bị rách nhẹ",negative,negative,neutral,neutral
"Giao nhanh, thiếu sơn",negative,negative,positive,neutral
"Màu sai hoàn toàn",negative,negative,neutral,neutral
"Màu không đúng mẫu",negative,negative,neutral,neutral
"Đóng gói kỹ nhưng cọ lỗi",negative,positive,neutral,neutral
"Màu không giống",negative,negative,neutral,neutral
"Màu sai nhưng giá rẻ",negative,negative,neutral,positive
"Đóng gói tốt nhưng màu ít",positive,positive,neutral,neutral
"Giao sai hình",negative,negative,neutral,neutral
"Màu khác xa",negative,negative,neutral,neutral
"Màu nhạt",negative,neutral,neutral,neutral
"Đẹp nhưng hơi sai",positive,neutral,neutral,neutral
"Shop hỗ trợ tốt",positive,neutral,neutral,neutral
"Giá ổn nhưng giao sai",negative,negative,neutral,positive
"Giao nhầm",negative,negative,neutral,neutral
"Cọ lỗi",negative,neutral,neutral,neutral
"Tranh rách + shop không giữ lời",negative,neutral,neutral,neutral
"Lỗi màu",negative,neutral,neutral,neutral
"Màu khô",negative,neutral,neutral,neutral
"Chất lượng kém + giao lâu",negative,neutral,negative,neutral
"Màu xấu",negative,neutral,neutral,neutral
"Chất lượng không đồng đều",negative,neutral,neutral,neutral
"Rách nhẹ",negative,negative,neutral,neutral
"Lỗi sọc",negative,neutral,neutral,neutral
"Thiếu cọ",negative,negative,neutral,neutral
"Giá rẻ nhưng tệ",negative,neutral,neutral,negative
"Khó tô",negative,neutral,neutral,neutral
"Móc khoá lỗi",negative,neutral,neutral,neutral
"Thiếu quà tặng",negative,negative,neutral,neutral
"Màu sai",negative,negative,neutral,neutral
"Không nhận được hàng",negative,neutral,negative,neutral
"Rất tệ",negative,neutral,neutral,neutral
"Bị lỗi",negative,neutral,neutral,neutral
"Không rõ số",negative,neutral,neutral,neutral
"Spam",neutral,neutral,neutral,neutral
"Đẹp nhưng sai màu",negative,negative,neutral,neutral
"Tốt nhưng cọ lỗi + mùi",negative,neutral,neutral,neutral
"Không đúng mô tả, màu khác, mùi khó chịu",negative,negative,neutral,neutral
"Màu khác nhiều so với ảnh",negative,negative,neutral,neutral
"Hàng xấu, thất vọng",negative,neutral,neutral,neutral
"Nội dung không liên quan",neutral,neutral,neutral,neutral
"3 tranh ok, 1 tranh lỗi",negative,neutral,neutral,neutral
"Đóng gói sơ sài, giao lâu",negative,negative,negative,neutral
"Nhựa, tô xấu",negative,neutral,neutral,neutral
"Màu nhạt, không giống",negative,neutral,neutral,neutral
"Nội dung lỗi",negative,neutral,neutral,neutral
"Đẹp nhưng viền khó tô",negative,neutral,neutral,neutral
"Đóng gói tốt, màu lệch",negative,negative,neutral,neutral
"Tốt",positive,neutral,neutral,neutral
"Giao sai màu",negative,negative,neutral,neutral
"Ok",positive,neutral,neutral,neutral
"Màu không đúng",negative,negative,neutral,neutral
"Ổn",positive,neutral,neutral,neutral
"Đẹp nhưng màu khô",negative,neutral,neutral,neutral
"Tranh bị cong",negative,negative,neutral,neutral
"Đẹp, giao nhanh",positive,neutral,positive,neutral
"Đủ đồ",positive,positive,neutral,neutral
"Bình thường",neutral,neutral,neutral,neutral
"Đẹp, giá rẻ",positive,neutral,neutral,positive
"Tốt nhưng thiếu quà",negative,negative,neutral,neutral
"Tốt, giao nhanh",positive,neutral,positive,neutral
"Giao nhanh, đẹp",positive,neutral,positive,neutral
"Cọ lỏng",negative,neutral,neutral,neutral
"Thiếu cọ nhưng shop xử lý tốt",negative,negative,neutral,neutral
"Bị vỡ do vận chuyển",negative,negative,negative,neutral
"Khá tốt",positive,neutral,neutral,neutral
"Màu đẹp",positive,neutral,neutral,neutral
"Giao sai 1 cái",negative,negative,neutral,neutral
"Giao trễ",neutral,neutral,negative,neutral
"Thiếu sơn bóng",negative,negative,neutral,neutral
"Đóng gói tốt",positive,positive,neutral,neutral
"Giá rẻ, chất lượng thấp",negative,neutral,neutral,positive
"Tạm ổn",neutral,neutral,neutral,neutral
"Màu rất tệ",negative,neutral,neutral,neutral
"Đẹp, giá tốt",positive,neutral,neutral,positive
"Đẹp",positive,neutral,neutral,neutral
"Màu đặc khó tô",negative,neutral,neutral,neutral
"Ổn, ok",positive,neutral,neutral,neutral
"Rẻ nhưng có lỗi rách",negative,neutral,neutral,negative
"Đẹp, màu tốt",positive,neutral,neutral,neutral
"Giá rẻ, shipper thân thiện",positive,neutral,positive,positive
"Đẹp nhưng màu không giống",negative,negative,neutral,neutral
"Giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral
"Shop không phản hồi",negative,neutral,neutral,neutral
"1 bộ lỗi",negative,neutral,neutral,neutral
"Đóng gói kém gây đổ hàng",negative,negative,neutral,neutral
"Màu không giống, giá rẻ",negative,negative,neutral,positive
"Đẹp nhưng đóng gói kém",negative,negative,neutral,neutral
"Đẹp, giá rẻ, giao nhanh",positive,neutral,positive,positive
"Thiếu phụ kiện",negative,negative,neutral,neutral
"Giao đủ",positive,positive,neutral,neutral
"1 đơn sai",negative,negative,neutral,neutral
"Đóng gói tốt, giao nhanh",positive,positive,positive,neutral
"Đóng gói kém",negative,negative,neutral,neutral
"Đẹp, đáng mua",positive,neutral,neutral,positive
"Bị rách",negative,negative,neutral,neutral
"Màu khô, thiếu đồ",negative,negative,neutral,neutral
"Màu khô, nét mờ",negative,neutral,neutral,neutral
"7/10",positive,neutral,neutral,neutral
"Đẹp nhưng giao lâu",positive,neutral,negative,neutral
"Màu khác",negative,negative,neutral,neutral
"Đẹp, đầy đủ",positive,positive,neutral,neutral
"Cọ khó dùng, mùi",negative,neutral,neutral,neutral
"Khung lệch",negative,neutral,neutral,neutral
"Ổn, giao nhanh",positive,neutral,positive,neutral
"Màu đặc",negative,neutral,neutral,neutral
"Số mờ",negative,neutral,neutral,neutral
"Đầy đủ",positive,positive,neutral,neutral
"Giao lâu",neutral,neutral,negative,neutral
"Đẹp nhưng số nhỏ",negative,neutral,neutral,neutral
"Lần đầu tô",neutral,neutral,neutral,neutral
"Sản phẩm khá đúng mẫu, shipper thân thiện",positive,positive,positive,neutral
"1 bức lỗi, thiếu màu",negative,negative,neutral,neutral
"Có mùi nhưng ổn",negative,neutral,neutral,neutral
"Đẹp, dễ tô",positive,neutral,neutral,neutral
"Bảo quản tốt",positive,neutral,neutral,neutral
"Cọ cứng nhưng màu đẹp",negative,neutral,neutral,neutral
"Màu không giống ảnh",negative,negative,neutral,neutral
"Màu không giống, giá không hợp lý",negative,negative,neutral,negative
"Chưa dùng",neutral,neutral,neutral,neutral
"Màu đẹp sau khi khô",positive,neutral,neutral,neutral
"Tốt nhưng bị rách nhẹ",negative,negative,neutral,neutral
"Đẹp nhưng màu khác",negative,negative,neutral,neutral
"Giao nhanh nhưng thiếu khung",negative,negative,positive,neutral
"Đẹp nhưng đóng gói ẩu",negative,negative,neutral,neutral
"Giao nhanh nhưng thiếu sơn",negative,negative,positive,neutral
"Đẹp nhưng đóng gói nát",negative,negative,neutral,neutral
"Rẻ, đẹp",positive,neutral,neutral,positive
"Ghìm bị gỉ",negative,neutral,neutral,neutral
"Giao nhanh, ổn",positive,neutral,positive,neutral
"Sai màu nhưng shop hỗ trợ tốt",negative,negative,neutral,neutral
"Tuyệt vời",positive,neutral,neutral,neutral
"Màu bị khô",negative,neutral,neutral,neutral
"Màu không chuẩn",negative,negative,neutral,neutral
"Màu nhạt, bút lỗi",negative,neutral,neutral,neutral
"Đẹp nhưng khó tô",negative,neutral,neutral,neutral
"Cọ bị xù",negative,neutral,neutral,neutral
"Ngòi bút to khó tô",negative,neutral,neutral,neutral
"Giao sai hàng",negative,negative,neutral,neutral
"Đúng mô tả",positive,positive,neutral,neutral
"Ok, xinh",positive,neutral,neutral,neutral
"Màu đặc, cọ lỗi",negative,neutral,neutral,neutral
"Cọ cứng",negative,neutral,neutral,neutral
"Đóng gói kém, móp",negative,negative,neutral,neutral
"Thiếu khung",negative,negative,neutral,neutral
"Màu không đúng nhưng rẻ",negative,negative,neutral,positive
"Màu không đẹp",negative,neutral,neutral,neutral
"Giao thiếu hàng nhưng shop xử lý tốt",negative,negative,neutral,neutral
"Màu lệch",negative,negative,neutral,neutral
"Mất số",negative,neutral,neutral,neutral
"1 màu sai",negative,negative,neutral,neutral
"Số nhỏ, màu sai nhưng rẻ",negative,negative,neutral,positive
"Giao sai màu, shop không phản hồi",negative,negative,neutral,neutral
"Nhiễu",neutral,neutral,neutral,neutral
"Màu giống nhau",neutral,neutral,neutral,neutral
"Giao nhầm hàng",negative,negative,neutral,neutral
"Rất tốt",positive,neutral,neutral,neutral
"Số khó thấy",negative,neutral,neutral,neutral
"Cọ rụng lông",negative,neutral,neutral,neutral
"Sai hàng",negative,negative,neutral,neutral
"Giao nhanh",positive,neutral,positive,neutral
