comment,aspect,sentiment,clean_comment,text_input
Chất lượng sản phẩm: dày dặn... màu tô khác hình,chat_luong,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']","['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình'] aspect_chat_luong"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,dong_goi,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']","['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình'] aspect_dong_goi"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,van_chuyen,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']","['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình'] aspect_van_chuyen"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,gia_ca,neutral,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']","['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình'] aspect_gia_ca"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,overall,neutral,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']","['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình'] aspect_overall"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",chat_luong,neutral,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']","['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh'] aspect_chat_luong"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",dong_goi,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']","['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh'] aspect_dong_goi"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",van_chuyen,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']","['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh'] aspect_van_chuyen"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",gia_ca,neutral,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']","['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh'] aspect_gia_ca"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",overall,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']","['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh'] aspect_overall"
