comment,chat_luong,dong_goi,van_chuyen,gia_ca,overall
hàng giả. âm thanh rè. vỏ nhựa mỏng. không chống nước,negative,neutral,neutral,negative,negative
hàng lỗi. sạc không lên nguồn. shop không trả lời,negative,neutral,neutral,neutral,negative
hàng lỗi. bật không lên nguồn. sạc không vào,negative,neutral,neutral,neutral,negative
hàng lỗi. không hướng dẫn sử dụng,negative,neutral,neutral,neutral,negative
giao nhanh. xài ổn. giá hợp lý,positive,neutral,positive,positive,positive
bật lớn loa nghe âm thanh kém,negative,neutral,neutral,neutral,negative
dễ sử dụng. chất lượng tạm ổn,positive,neutral,neutral,neutral,positive
dùng tốt. chăm sóc khách hàng tốt,positive,neutral,neutral,neutral,positive
chất lượng sản phẩm tốt,positive,neutral,neutral,neutral,positive
sản phẩm dùng ổn,positive,neutral,neutral,neutral,positive
hàng lỗi. lừa đảo. shop không hỗ trợ,negative,neutral,neutral,neutral,negative
chất lượng tệ. giao không đúng quảng cáo,negative,neutral,neutral,neutral,negative
giao sai sản phẩm. shop không trả lời,negative,neutral,neutral,neutral,negative
âm thanh rè. bị thấm nước. giao sai màu,negative,neutral,neutral,neutral,negative
giao hàng không sạc pin sẵn,neutral,neutral,neutral,neutral,neutral
sản phẩm lỗi không reset được. shop không trả lời,negative,neutral,neutral,neutral,negative
giao nhanh. đúng chất lượng. loa to,positive,neutral,positive,neutral,positive
âm thanh tốt. thiết kế đẹp nhỏ gọn,positive,neutral,neutral,neutral,positive
loa đẹp. âm thanh ổn. giá hợp lý,positive,neutral,neutral,positive,positive
loa đẹp. âm thanh to rõ,positive,neutral,neutral,neutral,positive
hàng lỗi bật không lên,negative,neutral,neutral,neutral,negative
chưa biết kết nối nhưng vẫn cho 5 sao,neutral,neutral,neutral,neutral,positive
bình luận spam quảng cáo,neutral,neutral,neutral,neutral,neutral
chất lượng kém. pin yếu. shop quảng cáo sai,negative,neutral,neutral,neutral,negative
sản phẩm khá tốt. phù hợp giá tiền,positive,neutral,neutral,positive,positive
chất lượng rất tốt,positive,neutral,neutral,neutral,positive
giao hàng giả. loa hư không sử dụng được,negative,neutral,neutral,neutral,negative
âm lượng khá ổn,positive,neutral,neutral,neutral,positive
sản phẩm tốt. giá rẻ,positive,neutral,neutral,positive,positive
hàng ok,positive,neutral,neutral,neutral,positive
chất lượng kém. shop không hỗ trợ,negative,neutral,neutral,neutral,negative
chất lượng tốt,positive,neutral,neutral,neutral,positive
không như mô tả,negative,neutral,neutral,neutral,negative
ok,positive,neutral,neutral,neutral,positive
âm thanh rõ mạnh. thiết kế nhỏ gọn,positive,neutral,neutral,neutral,positive
âm thanh to rõ. chống nước tốt. thiết kế gọn. giá rẻ,positive,neutral,neutral,positive,positive
âm thanh rõ. dễ kết nối. xài tốt,positive,neutral,neutral,neutral,positive
âm thanh tốt. chống nước ok. thiết kế đẹp,positive,neutral,neutral,neutral,positive
sản phẩm tốt. nghe hay. nhỏ gọn. giao nhanh,positive,neutral,positive,neutral,positive
âm thanh lớn. phù hợp tập thể dục,positive,neutral,neutral,neutral,positive
bình luận rác không liên quan,neutral,neutral,neutral,neutral,neutral
bình luận rác không liên quan,neutral,neutral,neutral,neutral,neutral
giao nhanh. xài được. phù hợp giá tiền,positive,neutral,positive,positive,positive
mau hỏng. phí tiền,negative,neutral,neutral,negative,negative
không có nội dung đánh giá,neutral,neutral,neutral,neutral,neutral
tính năng tốt,positive,neutral,neutral,neutral,positive
tính năng tốt,positive,neutral,neutral,neutral,positive
tính năng tốt,positive,neutral,neutral,neutral,positive
không có nội dung đánh giá,neutral,neutral,neutral,neutral,neutral
hàng lỗi không sử dụng được,negative,neutral,neutral,neutral,negative
quá ok,positive,neutral,neutral,neutral,positive
bass yếu,negative,neutral,neutral,neutral,negative
giao sai màu,negative,neutral,neutral,neutral,negative
tốt,positive,neutral,neutral,neutral,positive
mọi thứ đều ok,positive,neutral,neutral,neutral,positive
xịn sò kết nối mạnh,positive,neutral,neutral,neutral,positive
ốp tốt nhưng hơi ố vàng. sạc không tác dụng,neutral,neutral,neutral,neutral,neutral
chất lượng ok. đẹp. giá rẻ. giao hàng nhiệt tình,positive,neutral,positive,positive,positive
chất lượng bình thường. không đúng mô tả. dễ ố vàng,negative,neutral,neutral,neutral,negative
bình luận rác không liên quan,neutral,neutral,neutral,neutral,neutral
gói hàng tốt. giao nhanh,neutral,positive,positive,neutral,positive
ốp như hàng đã qua sử dụng. lỗi hỏng,negative,neutral,neutral,neutral,negative
giao hàng rất nhanh. ốp dày dặn đẹp mắt,positive,neutral,positive,neutral,positive
chất lượng tốt. đóng gói kĩ. giao nhanh,positive,positive,positive,neutral,positive
ốp dẻo tốt. dùng lâu bị vàng. đáng tiền,positive,neutral,neutral,positive,positive
ốp xịn. bọc seal kĩ. giá quá rẻ,positive,positive,neutral,positive,positive
ốp đẹp. giá rẻ,positive,neutral,neutral,positive,positive
ốp dày cứng cáp. nhựa ổn. từ tính hỏng. nhanh ố vàng,neutral,neutral,neutral,neutral,neutral
ốp cứng cáp. vừa vặn,positive,neutral,neutral,neutral,positive
ốp cũ xước. ộp ẹp. giá ok,negative,neutral,neutral,positive,negative
sản phẩm tốt. giá rẻ,positive,neutral,neutral,positive,positive
chất lượng dở tệ. ốp xấu trầy. dính keo,negative,neutral,neutral,neutral,negative
bình luận rác không liên quan,neutral,neutral,neutral,neutral,neutral
xài được. giá rẻ,positive,neutral,neutral,positive,positive
chất lượng tốt. giá hợp lý,positive,neutral,neutral,positive,positive
chất lượng tốt. dày dặn,positive,neutral,neutral,neutral,positive
chất liệu đểu. trầy xước nhiều. hàng lỗi,negative,neutral,neutral,neutral,negative
giao đồ cũ đã qua sử dụng,negative,neutral,neutral,neutral,negative
sản phẩm đã qua sử dụng,negative,neutral,neutral,neutral,negative
chất lượng ok. đóng gói chắc chắn. giao nhanh,positive,positive,positive,neutral,positive
nhanh hỏng vòng trắng. sài được. giá rẻ,neutral,neutral,neutral,positive,neutral
sản phẩm tốt. giao hàng nhanh,positive,neutral,positive,neutral,positive
chất liệu tốt. giao nhanh,positive,neutral,positive,neutral,positive
ốp dày chống sốc. đẹp. giao nhanh,positive,neutral,positive,neutral,positive
