comment,aspect,sentiment,clean_comment
Chất lượng sản phẩm: dày dặn... màu tô khác hình,chat_luong,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,dong_goi,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,van_chuyen,positive,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,gia_ca,neutral,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']"
Chất lượng sản phẩm: dày dặn... màu tô khác hình,overall,neutral,"['chất lượng', 'sản phẩm', 'dày dặn', 'màu', 'tô', 'khác', 'hình']"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",chat_luong,neutral,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",dong_goi,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",van_chuyen,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",gia_ca,neutral,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']"
"Chưa dùng... đóng gói cẩn thận, giao nhanh",overall,positive,"['chưa', 'dùng', 'đóng gói', 'cẩn thận', 'giao', 'nhanh']"
Bài viết JISOO...,chat_luong,neutral,"['bài', 'viết', 'jisoo']"
Bài viết JISOO...,dong_goi,neutral,"['bài', 'viết', 'jisoo']"
Bài viết JISOO...,van_chuyen,neutral,"['bài', 'viết', 'jisoo']"
Bài viết JISOO...,gia_ca,neutral,"['bài', 'viết', 'jisoo']"
Bài viết JISOO...,overall,neutral,"['bài', 'viết', 'jisoo']"
"Đẹp, màu xinh, khó tô",chat_luong,positive,"['đẹp', 'màu', 'xinh khó', 'tô']"
"Đẹp, màu xinh, khó tô",dong_goi,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']"
"Đẹp, màu xinh, khó tô",van_chuyen,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']"
"Đẹp, màu xinh, khó tô",gia_ca,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']"
"Đẹp, màu xinh, khó tô",overall,positive,"['đẹp', 'màu', 'xinh khó', 'tô']"
Sản phẩm móp méo,chat_luong,negative,"['sản phẩm', 'móp', 'méo']"
Sản phẩm móp méo,dong_goi,neutral,"['sản phẩm', 'móp', 'méo']"
Sản phẩm móp méo,van_chuyen,neutral,"['sản phẩm', 'móp', 'méo']"
Sản phẩm móp méo,gia_ca,neutral,"['sản phẩm', 'móp', 'méo']"
Sản phẩm móp méo,overall,negative,"['sản phẩm', 'móp', 'méo']"
Sản phẩm ok nhưng màu tối,chat_luong,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']"
Sản phẩm ok nhưng màu tối,dong_goi,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']"
Sản phẩm ok nhưng màu tối,van_chuyen,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']"
Sản phẩm ok nhưng màu tối,gia_ca,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']"
Sản phẩm ok nhưng màu tối,overall,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']"
Rẻ đẹp xứng giá,chat_luong,positive,"['rẻ', 'đẹp', 'xứng', 'giá']"
Rẻ đẹp xứng giá,dong_goi,neutral,"['rẻ', 'đẹp', 'xứng', 'giá']"
Rẻ đẹp xứng giá,van_chuyen,neutral,"['rẻ', 'đẹp', 'xứng', 'giá']"
Rẻ đẹp xứng giá,gia_ca,positive,"['rẻ', 'đẹp', 'xứng', 'giá']"
Rẻ đẹp xứng giá,overall,positive,"['rẻ', 'đẹp', 'xứng', 'giá']"
Hộp móp nhưng sp ok,chat_luong,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']"
Hộp móp nhưng sp ok,dong_goi,negative,"['hộp', 'móp', 'nhưng', 'sp', 'ok']"
Hộp móp nhưng sp ok,van_chuyen,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']"
Hộp móp nhưng sp ok,gia_ca,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']"
Hộp móp nhưng sp ok,overall,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']"
Bị rách nhẹ,chat_luong,negative,"['bị', 'rách', 'nhẹ']"
Bị rách nhẹ,dong_goi,neutral,"['bị', 'rách', 'nhẹ']"
Bị rách nhẹ,van_chuyen,neutral,"['bị', 'rách', 'nhẹ']"
Bị rách nhẹ,gia_ca,neutral,"['bị', 'rách', 'nhẹ']"
Bị rách nhẹ,overall,negative,"['bị', 'rách', 'nhẹ']"
"Giao nhanh, thiếu sơn",chat_luong,negative,"['giao', 'nhanh', 'thiếu', 'sơn']"
"Giao nhanh, thiếu sơn",dong_goi,positive,"['giao', 'nhanh', 'thiếu', 'sơn']"
"Giao nhanh, thiếu sơn",van_chuyen,positive,"['giao', 'nhanh', 'thiếu', 'sơn']"
"Giao nhanh, thiếu sơn",gia_ca,neutral,"['giao', 'nhanh', 'thiếu', 'sơn']"
"Giao nhanh, thiếu sơn",overall,negative,"['giao', 'nhanh', 'thiếu', 'sơn']"
Màu sai hoàn toàn,chat_luong,negative,"['màu', 'sai', 'hoàn toàn']"
Màu sai hoàn toàn,dong_goi,neutral,"['màu', 'sai', 'hoàn toàn']"
Màu sai hoàn toàn,van_chuyen,neutral,"['màu', 'sai', 'hoàn toàn']"
Màu sai hoàn toàn,gia_ca,neutral,"['màu', 'sai', 'hoàn toàn']"
Màu sai hoàn toàn,overall,negative,"['màu', 'sai', 'hoàn toàn']"
Màu không đúng mẫu,chat_luong,negative,"['màu', 'không', 'đúng', 'mẫu']"
Màu không đúng mẫu,dong_goi,neutral,"['màu', 'không', 'đúng', 'mẫu']"
Màu không đúng mẫu,van_chuyen,neutral,"['màu', 'không', 'đúng', 'mẫu']"
Màu không đúng mẫu,gia_ca,neutral,"['màu', 'không', 'đúng', 'mẫu']"
Màu không đúng mẫu,overall,negative,"['màu', 'không', 'đúng', 'mẫu']"
Đóng gói kỹ nhưng cọ lỗi,chat_luong,negative,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']"
Đóng gói kỹ nhưng cọ lỗi,dong_goi,positive,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']"
Đóng gói kỹ nhưng cọ lỗi,van_chuyen,positive,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']"
Đóng gói kỹ nhưng cọ lỗi,gia_ca,neutral,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']"
Đóng gói kỹ nhưng cọ lỗi,overall,neutral,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']"
Màu không giống,overall,negative,"['màu', 'không', 'giống']"
Màu sai nhưng giá rẻ,chat_luong,negative,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']"
Màu sai nhưng giá rẻ,dong_goi,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']"
Màu sai nhưng giá rẻ,van_chuyen,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']"
Màu sai nhưng giá rẻ,gia_ca,positive,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']"
Màu sai nhưng giá rẻ,overall,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']"
Đóng gói tốt nhưng màu ít,chat_luong,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']"
Đóng gói tốt nhưng màu ít,dong_goi,positive,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']"
Đóng gói tốt nhưng màu ít,van_chuyen,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']"
Đóng gói tốt nhưng màu ít,gia_ca,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']"
Đóng gói tốt nhưng màu ít,overall,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']"
Giao sai hình,chat_luong,negative,"['giao', 'sai', 'hình']"
Giao sai hình,dong_goi,neutral,"['giao', 'sai', 'hình']"
Giao sai hình,van_chuyen,neutral,"['giao', 'sai', 'hình']"
Giao sai hình,gia_ca,neutral,"['giao', 'sai', 'hình']"
Giao sai hình,overall,negative,"['giao', 'sai', 'hình']"
Màu khác xa,chat_luong,negative,"['màu', 'khác', 'xa']"
Màu khác xa,dong_goi,neutral,"['màu', 'khác', 'xa']"
Màu khác xa,van_chuyen,neutral,"['màu', 'khác', 'xa']"
Màu khác xa,gia_ca,neutral,"['màu', 'khác', 'xa']"
Màu khác xa,overall,negative,"['màu', 'khác', 'xa']"
Màu nhạt,chat_luong,negative,"['màu', 'nhạt']"
Màu nhạt,dong_goi,neutral,"['màu', 'nhạt']"
Màu nhạt,van_chuyen,positive,"['màu', 'nhạt']"
Màu nhạt,gia_ca,neutral,"['màu', 'nhạt']"
Màu nhạt,overall,negative,"['màu', 'nhạt']"
Đẹp nhưng hơi sai,chat_luong,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']"
Đẹp nhưng hơi sai,dong_goi,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']"
Đẹp nhưng hơi sai,van_chuyen,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']"
Đẹp nhưng hơi sai,gia_ca,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']"
Đẹp nhưng hơi sai,overall,positive,"['đẹp', 'nhưng', 'hơi', 'sai']"
Shop hỗ trợ tốt,chat_luong,neutral,"['shop', 'hỗ trợ', 'tốt']"
Shop hỗ trợ tốt,dong_goi,neutral,"['shop', 'hỗ trợ', 'tốt']"
Shop hỗ trợ tốt,van_chuyen,neutral,"['shop', 'hỗ trợ', 'tốt']"
Shop hỗ trợ tốt,gia_ca,neutral,"['shop', 'hỗ trợ', 'tốt']"
Shop hỗ trợ tốt,overall,positive,"['shop', 'hỗ trợ', 'tốt']"
Giá ổn nhưng giao sai,chat_luong,negative,"['giá', 'ổn', 'nhưng', 'giao', 'sai']"
Giá ổn nhưng giao sai,dong_goi,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']"
Giá ổn nhưng giao sai,van_chuyen,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']"
Giá ổn nhưng giao sai,gia_ca,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']"
Giá ổn nhưng giao sai,overall,neutral,"['giá', 'ổn', 'nhưng', 'giao', 'sai']"
Giao nhầm,chat_luong,negative,"['giao', 'nhầm']"
Giao nhầm,dong_goi,neutral,"['giao', 'nhầm']"
Giao nhầm,van_chuyen,neutral,"['giao', 'nhầm']"
Giao nhầm,gia_ca,neutral,"['giao', 'nhầm']"
Giao nhầm,overall,negative,"['giao', 'nhầm']"
Cọ lỗi,chat_luong,negative,"['cọ', 'lỗi']"
Cọ lỗi,dong_goi,neutral,"['cọ', 'lỗi']"
Cọ lỗi,van_chuyen,neutral,"['cọ', 'lỗi']"
Cọ lỗi,gia_ca,neutral,"['cọ', 'lỗi']"
Cọ lỗi,overall,negative,"['cọ', 'lỗi']"
Tranh rách + shop không giữ lời,chat_luong,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']"
Tranh rách + shop không giữ lời,dong_goi,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']"
Tranh rách + shop không giữ lời,van_chuyen,neutral,"['tranh', 'rách shop', 'không', 'giữ', 'lời']"
Tranh rách + shop không giữ lời,gia_ca,neutral,"['tranh', 'rách shop', 'không', 'giữ', 'lời']"
Tranh rách + shop không giữ lời,overall,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']"
Lỗi màu,chat_luong,negative,"['lỗi', 'màu']"
Lỗi màu,dong_goi,neutral,"['lỗi', 'màu']"
Lỗi màu,van_chuyen,positive,"['lỗi', 'màu']"
Lỗi màu,gia_ca,positive,"['lỗi', 'màu']"
Lỗi màu,overall,negative,"['lỗi', 'màu']"
Màu khô,chat_luong,negative,"['màu', 'khô']"
Màu khô,dong_goi,neutral,"['màu', 'khô']"
Màu khô,van_chuyen,positive,"['màu', 'khô']"
Màu khô,gia_ca,neutral,"['màu', 'khô']"
Màu khô,overall,negative,"['màu', 'khô']"
Chất lượng kém + giao lâu,chat_luong,negative,"['chất lượng', 'kém', 'giao', 'lâu']"
Chất lượng kém + giao lâu,dong_goi,neutral,"['chất lượng', 'kém', 'giao', 'lâu']"
Chất lượng kém + giao lâu,van_chuyen,negative,"['chất lượng', 'kém', 'giao', 'lâu']"
Chất lượng kém + giao lâu,gia_ca,neutral,"['chất lượng', 'kém', 'giao', 'lâu']"
Chất lượng kém + giao lâu,overall,negative,"['chất lượng', 'kém', 'giao', 'lâu']"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']"
Màu không giống,overall,negative,"['màu', 'không', 'giống']"
Màu xấu,chat_luong,negative,"['màu', 'xấu']"
Màu xấu,dong_goi,neutral,"['màu', 'xấu']"
Màu xấu,van_chuyen,neutral,"['màu', 'xấu']"
Màu xấu,gia_ca,neutral,"['màu', 'xấu']"
Màu xấu,overall,negative,"['màu', 'xấu']"
Chất lượng không đồng đều,chat_luong,negative,"['chất lượng', 'không', 'đồng đều']"
Chất lượng không đồng đều,dong_goi,neutral,"['chất lượng', 'không', 'đồng đều']"
Chất lượng không đồng đều,van_chuyen,neutral,"['chất lượng', 'không', 'đồng đều']"
Chất lượng không đồng đều,gia_ca,neutral,"['chất lượng', 'không', 'đồng đều']"
Chất lượng không đồng đều,overall,negative,"['chất lượng', 'không', 'đồng đều']"
Rách nhẹ,chat_luong,neutral,"['rách', 'nhẹ']"
Rách nhẹ,dong_goi,neutral,"['rách', 'nhẹ']"
Rách nhẹ,van_chuyen,neutral,"['rách', 'nhẹ']"
Rách nhẹ,gia_ca,neutral,"['rách', 'nhẹ']"
Rách nhẹ,overall,positive,"['rách', 'nhẹ']"
Lỗi sọc,chat_luong,neutral,"['lỗi', 'sọc']"
Lỗi sọc,dong_goi,neutral,"['lỗi', 'sọc']"
Lỗi sọc,van_chuyen,neutral,"['lỗi', 'sọc']"
Lỗi sọc,gia_ca,neutral,"['lỗi', 'sọc']"
Lỗi sọc,overall,negative,"['lỗi', 'sọc']"
Thiếu cọ,chat_luong,negative,"['thiếu', 'cọ']"
Thiếu cọ,dong_goi,neutral,"['thiếu', 'cọ']"
Thiếu cọ,van_chuyen,neutral,"['thiếu', 'cọ']"
Thiếu cọ,gia_ca,neutral,"['thiếu', 'cọ']"
Thiếu cọ,overall,negative,"['thiếu', 'cọ']"
Giá rẻ nhưng tệ,chat_luong,negative,"['giá', 'rẻ', 'nhưng', 'tệ']"
Giá rẻ nhưng tệ,dong_goi,neutral,"['giá', 'rẻ', 'nhưng', 'tệ']"
Giá rẻ nhưng tệ,van_chuyen,neutral,"['giá', 'rẻ', 'nhưng', 'tệ']"
Giá rẻ nhưng tệ,gia_ca,positive,"['giá', 'rẻ', 'nhưng', 'tệ']"
Giá rẻ nhưng tệ,overall,negative,"['giá', 'rẻ', 'nhưng', 'tệ']"
Khó tô,chat_luong,neutral,"['khó', 'tô']"
Khó tô,dong_goi,neutral,"['khó', 'tô']"
Khó tô,van_chuyen,neutral,"['khó', 'tô']"
Khó tô,gia_ca,neutral,"['khó', 'tô']"
Khó tô,overall,neutral,"['khó', 'tô']"
Móc khoá lỗi,chat_luong,negative,"['móc', 'khóa', 'lỗi']"
Móc khoá lỗi,dong_goi,neutral,"['móc', 'khóa', 'lỗi']"
Móc khoá lỗi,van_chuyen,neutral,"['móc', 'khóa', 'lỗi']"
Móc khoá lỗi,gia_ca,neutral,"['móc', 'khóa', 'lỗi']"
Móc khoá lỗi,overall,negative,"['móc', 'khóa', 'lỗi']"
Thiếu quà tặng,chat_luong,negative,"['thiếu', 'quà', 'tặng']"
Thiếu quà tặng,dong_goi,neutral,"['thiếu', 'quà', 'tặng']"
Thiếu quà tặng,van_chuyen,neutral,"['thiếu', 'quà', 'tặng']"
Thiếu quà tặng,gia_ca,neutral,"['thiếu', 'quà', 'tặng']"
Thiếu quà tặng,overall,negative,"['thiếu', 'quà', 'tặng']"
Màu sai,chat_luong,negative,"['màu', 'sai']"
Màu sai,dong_goi,neutral,"['màu', 'sai']"
Màu sai,van_chuyen,neutral,"['màu', 'sai']"
Màu sai,gia_ca,neutral,"['màu', 'sai']"
Màu sai,overall,negative,"['màu', 'sai']"
Không nhận được hàng,chat_luong,negative,"['không', 'nhận', 'được', 'hàng']"
Không nhận được hàng,dong_goi,neutral,"['không', 'nhận', 'được', 'hàng']"
Không nhận được hàng,van_chuyen,negative,"['không', 'nhận', 'được', 'hàng']"
Không nhận được hàng,gia_ca,neutral,"['không', 'nhận', 'được', 'hàng']"
Không nhận được hàng,overall,negative,"['không', 'nhận', 'được', 'hàng']"
Rất tệ,chat_luong,negative,"['rất', 'tệ']"
Rất tệ,dong_goi,neutral,"['rất', 'tệ']"
Rất tệ,van_chuyen,neutral,"['rất', 'tệ']"
Rất tệ,gia_ca,neutral,"['rất', 'tệ']"
Rất tệ,overall,negative,"['rất', 'tệ']"
Bị lỗi,chat_luong,negative,"['bị', 'lỗi']"
Bị lỗi,dong_goi,neutral,"['bị', 'lỗi']"
Bị lỗi,van_chuyen,neutral,"['bị', 'lỗi']"
Bị lỗi,gia_ca,neutral,"['bị', 'lỗi']"
Bị lỗi,overall,negative,"['bị', 'lỗi']"
Không rõ số,chat_luong,negative,"['không', 'rõ', 'số']"
Không rõ số,dong_goi,neutral,"['không', 'rõ', 'số']"
Không rõ số,van_chuyen,neutral,"['không', 'rõ', 'số']"
Không rõ số,gia_ca,neutral,"['không', 'rõ', 'số']"
Không rõ số,overall,negative,"['không', 'rõ', 'số']"
Spam,chat_luong,neutral,['spam']
Spam,dong_goi,neutral,['spam']
Spam,van_chuyen,neutral,['spam']
Spam,gia_ca,neutral,['spam']
Spam,overall,neutral,['spam']
Màu khô,chat_luong,negative,"['màu', 'khô']"
Màu khô,dong_goi,neutral,"['màu', 'khô']"
Màu khô,van_chuyen,neutral,"['màu', 'khô']"
Màu khô,gia_ca,neutral,"['màu', 'khô']"
Màu khô,overall,negative,"['màu', 'khô']"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']"
Màu không giống,overall,negative,"['màu', 'không', 'giống']"
Đẹp nhưng sai màu,chat_luong,negative,"['đẹp', 'nhưng', 'sai', 'màu']"
Đẹp nhưng sai màu,dong_goi,neutral,"['đẹp', 'nhưng', 'sai', 'màu']"
Đẹp nhưng sai màu,van_chuyen,positive,"['đẹp', 'nhưng', 'sai', 'màu']"
Đẹp nhưng sai màu,gia_ca,neutral,"['đẹp', 'nhưng', 'sai', 'màu']"
Đẹp nhưng sai màu,overall,positive,"['đẹp', 'nhưng', 'sai', 'màu']"
Tốt nhưng cọ lỗi + mùi,chat_luong,neutral,"['tốt', 'nhưng', 'cọ', 'lỗi', 'mùi']"
Tốt nhưng cọ lỗi + mùi,dong_goi,neutral,"['tốt', 'nhưng', 'cọ', 'lỗi', 'mùi']"
Tốt nhưng cọ lỗi + mùi,van_chuyen,neutral,"['tốt', 'nhưng', 'cọ', 'lỗi', 'mùi']"
Tốt nhưng cọ lỗi + mùi,gia_ca,neutral,"['tốt', 'nhưng', 'cọ', 'lỗi', 'mùi']"
Tốt nhưng cọ lỗi + mùi,overall,positive,"['tốt', 'nhưng', 'cọ', 'lỗi', 'mùi']"
"Không đúng mô tả, màu khác, mùi khó chịu",chat_luong,negative,"['không', 'đúng', 'mô tả', 'màu', 'khác', 'mùi', 'khó chịu']"
"Không đúng mô tả, màu khác, mùi khó chịu",dong_goi,neutral,"['không', 'đúng', 'mô tả', 'màu', 'khác', 'mùi', 'khó chịu']"
"Không đúng mô tả, màu khác, mùi khó chịu",van_chuyen,neutral,"['không', 'đúng', 'mô tả', 'màu', 'khác', 'mùi', 'khó chịu']"
"Không đúng mô tả, màu khác, mùi khó chịu",gia_ca,positive,"['không', 'đúng', 'mô tả', 'màu', 'khác', 'mùi', 'khó chịu']"
"Không đúng mô tả, màu khác, mùi khó chịu",overall,negative,"['không', 'đúng', 'mô tả', 'màu', 'khác', 'mùi', 'khó chịu']"
Màu khác nhiều so với ảnh,chat_luong,negative,"['màu', 'khác', 'nhiều', 'so', 'với', 'ảnh']"
Màu khác nhiều so với ảnh,dong_goi,neutral,"['màu', 'khác', 'nhiều', 'so', 'với', 'ảnh']"
Màu khác nhiều so với ảnh,van_chuyen,neutral,"['màu', 'khác', 'nhiều', 'so', 'với', 'ảnh']"
Màu khác nhiều so với ảnh,gia_ca,neutral,"['màu', 'khác', 'nhiều', 'so', 'với', 'ảnh']"
Màu khác nhiều so với ảnh,overall,negative,"['màu', 'khác', 'nhiều', 'so', 'với', 'ảnh']"
"Hàng xấu, thất vọng",chat_luong,negative,"['hàng', 'xấu', 'thất vọng']"
"Hàng xấu, thất vọng",dong_goi,neutral,"['hàng', 'xấu', 'thất vọng']"
"Hàng xấu, thất vọng",van_chuyen,positive,"['hàng', 'xấu', 'thất vọng']"
"Hàng xấu, thất vọng",gia_ca,neutral,"['hàng', 'xấu', 'thất vọng']"
"Hàng xấu, thất vọng",overall,negative,"['hàng', 'xấu', 'thất vọng']"
Nội dung không liên quan,chat_luong,neutral,"['nội dung', 'không', 'liên quan']"
Nội dung không liên quan,dong_goi,neutral,"['nội dung', 'không', 'liên quan']"
Nội dung không liên quan,van_chuyen,neutral,"['nội dung', 'không', 'liên quan']"
Nội dung không liên quan,gia_ca,neutral,"['nội dung', 'không', 'liên quan']"
Nội dung không liên quan,overall,neutral,"['nội dung', 'không', 'liên quan']"
"3 tranh ok, 1 tranh lỗi",chat_luong,positive,"['3', 'tranh ok', '1', 'tranh', 'lỗi']"
"3 tranh ok, 1 tranh lỗi",dong_goi,neutral,"['3', 'tranh ok', '1', 'tranh', 'lỗi']"
"3 tranh ok, 1 tranh lỗi",van_chuyen,neutral,"['3', 'tranh ok', '1', 'tranh', 'lỗi']"
"3 tranh ok, 1 tranh lỗi",gia_ca,neutral,"['3', 'tranh ok', '1', 'tranh', 'lỗi']"
"3 tranh ok, 1 tranh lỗi",overall,positive,"['3', 'tranh ok', '1', 'tranh', 'lỗi']"
"Đóng gói sơ sài, giao lâu",chat_luong,neutral,"['đóng gói', 'sơ sài', 'giao', 'lâu']"
"Đóng gói sơ sài, giao lâu",dong_goi,negative,"['đóng gói', 'sơ sài', 'giao', 'lâu']"
"Đóng gói sơ sài, giao lâu",van_chuyen,negative,"['đóng gói', 'sơ sài', 'giao', 'lâu']"
"Đóng gói sơ sài, giao lâu",gia_ca,neutral,"['đóng gói', 'sơ sài', 'giao', 'lâu']"
"Đóng gói sơ sài, giao lâu",overall,negative,"['đóng gói', 'sơ sài', 'giao', 'lâu']"
"Nhựa, tô xấu",chat_luong,negative,"['nhựa', 'tô', 'xấu']"
"Nhựa, tô xấu",dong_goi,neutral,"['nhựa', 'tô', 'xấu']"
"Nhựa, tô xấu",van_chuyen,neutral,"['nhựa', 'tô', 'xấu']"
"Nhựa, tô xấu",gia_ca,neutral,"['nhựa', 'tô', 'xấu']"
"Nhựa, tô xấu",overall,negative,"['nhựa', 'tô', 'xấu']"
"Màu nhạt, không giống",chat_luong,negative,"['màu', 'nhạt', 'không', 'giống']"
"Màu nhạt, không giống",dong_goi,neutral,"['màu', 'nhạt', 'không', 'giống']"
"Màu nhạt, không giống",van_chuyen,neutral,"['màu', 'nhạt', 'không', 'giống']"
"Màu nhạt, không giống",gia_ca,neutral,"['màu', 'nhạt', 'không', 'giống']"
"Màu nhạt, không giống",overall,negative,"['màu', 'nhạt', 'không', 'giống']"
Nội dung lỗi,chat_luong,neutral,"['nội dung', 'lỗi']"
Nội dung lỗi,dong_goi,neutral,"['nội dung', 'lỗi']"
Nội dung lỗi,van_chuyen,neutral,"['nội dung', 'lỗi']"
Nội dung lỗi,gia_ca,neutral,"['nội dung', 'lỗi']"
