comment,chat_luong,dong_goi,van_chuyen,gia_ca,clean_comment
mỏng rộng,negative,neutral,neutral,neutral,mỏng rộng
nhỏ gọn chắc chắn. đóng gói cẩn thận,negative,positive,neutral,neutral,nhỏ gọn chắc chắn đóng gói cẩn thận
tập to bị móp góc,negative,negative,neutral,neutral,tập to bị móp góc
đóng gói sơ sài vận chuyển cong nhẹ,negative,negative,negative,neutral,đóng gói sơ sài vận chuyển cong nhẹ
sơ sài khác ảnh bị móp không vừa,negative,neutral,neutral,neutral,sơ sài khác ảnh bị móp không vừa
shop gói hàng nhanh. giao đúng màu nhưng cái màu đen bị gãy 1 xương,negative,negative,positive,neutral,shop gói hàng nhanh giao đúng màu nhưng cái màu đen bị gãy 1 xương
giao hàng nhanh đóng gói cực ẩu không bọc xốp chống va đập,positive,negative,positive,neutral,giao hàng nhanh đóng gói cực ẩu không bọc xốp chống va đập
hoàn hàng đặt lại giao 6mm thay vì 8mm màu không đậm nét dơ nhẹ,negative,negative,neutral,neutral,hoàn hàng đặt lại giao 6mm thay vì 8mm màu không đậm nét dơ nhẹ
giao sai hàng nhắn tin bảo giao lại không được không coi trọng khách hàng,negative,neutral,neutral,neutral,giao sai hàng nhắn tin bảo giao lại không được không coi trọng khách hàng
thun thấm hút tốt phù hợp trẻ nhỏ. shop giao hàng nhanh,positive,neutral,positive,neutral,thun thấm hút tốt phù hợp trẻ nhỏ shop giao hàng nhanh
vận chuyển lâu chưa cầm hàng đã báo thành công,neutral,neutral,negative,neutral,vận chuyển lâu chưa cầm hàng đã báo thành công
size không đúng shop không phản hồi,negative,negative,neutral,neutral,size không đúng shop không phản hồi
Tuột quai,negative,neutral,neutral,neutral,tuột quai
giao nhanh đóng gói cẩn thận khóa kẹt đúng mã không mở được,negative,positive,positive,neutral,giao nhanh đóng gói cẩn thận khóa kẹt đúng mã không mở được
"Rẻ, đẹp",positive,neutral,neutral,positive,rẻ đẹp
Lỗi màu,negative,neutral,neutral,neutral,lỗi màu
mới nhận hàng đã rách giao hàng chậm không nên mua,negative,neutral,negative,neutral,mới nhận hàng đã rách giao hàng chậm không nên mua
chất lượng tốt. đóng gói cẩn thận. giao nhanh,positive,positive,positive,neutral,chất lượng tốt đóng gói cẩn thận giao nhanh
tạm,neutral,neutral,neutral,neutral,tạm
bao tay quá dày không bám màn hình,negative,neutral,neutral,neutral,bao tay quá dày không bám màn hình
đặt màu xanh giao màu đen cũng tạm được,negative,negative,neutral,neutral,đặt màu xanh giao màu đen cũng tạm được
đóng gói rất cẩn thận mở ra kính vỡ không có miếng lau kính thất vọng,negative,positive,neutral,neutral,đóng gói rất cẩn thận mở ra kính vỡ không có miếng lau kính thất vọng
sữa giúp bé tăng cân và phát triển chiều cao,positive,neutral,neutral,neutral,sữa giúp bé tăng cân và phát triển chiều cao
ốp nhỏ không nên mua bán hàng tào lao kém chất lượng,negative,neutral,neutral,neutral,ốp nhỏ không nên mua bán hàng tào lao kém chất lượng
"Size sai, hoàn tiền sai, dịch vụ tệ",negative,negative,neutral,neutral,size sai hoàn tiền sai dịch vụ tệ
Tốt so với giá nhưng thiếu đồ,negative,negative,neutral,positive,tốt so với giá nhưng thiếu đồ
chất lượng không như mong đợi. thảm dày nhưng không bám quá trơn tuột động tác,negative,negative,neutral,neutral,chất lượng không như mong đợi thảm dày nhưng không bám quá trơn tuột động tác
giao thiếu hàng nhắn tin shop giả vờ không thấy. không bao giờ mua lại,negative,neutral,neutral,neutral,giao thiếu hàng nhắn tin shop giả vờ không thấy không bao giờ mua lại
dù mỏng không chắc chắn. mùi rất hôi,negative,neutral,neutral,neutral,dù mỏng không chắc chắn mùi rất hôi
mới dùng được 3h đã tươm,negative,neutral,neutral,neutral,mới dùng được 3h đã tươm
"ít ngọt, bé dễ uống",positive,neutral,neutral,neutral,ít ngọt bé dễ uống
Màu đẹp sau khi khô,positive,neutral,neutral,neutral,màu đẹp sau khi khô
chất đẹp nhưng có vết bẩn,negative,negative,neutral,neutral,chất đẹp nhưng có vết bẩn
chất lượng không tốt bị lỗi không dán được dán vào bong ra không chắc bỏ đi phí 20k chán,negative,neutral,neutral,negative,chất lượng không tốt bị lỗi không dán được dán vào bong ra không chắc bỏ đi phí 20k chán
"Quần xinh, giao hàng nhanh",positive,neutral,positive,neutral,quần xinh giao hàng nhanh
dù gấp lại khó mùi hóa chất hôi nồng nặc,negative,neutral,neutral,neutral,dù gấp lại khó mùi hóa chất hôi nồng nặc
nội dung lỗi,negative,neutral,neutral,neutral,nội dung lỗi
mỏng không đều mất thẩm mỹ,negative,neutral,neutral,neutral,mỏng không đều mất thẩm mỹ
shop không nhiệt tình. ô bị gãy,negative,negative,neutral,neutral,shop không nhiệt tình ô bị gãy
chất lượng kém âm điểm,negative,neutral,neutral,neutral,chất lượng kém âm điểm
giá đỡ đẹp chắc chắn có đệm ma sát. đóng gói cẩn thận,negative,positive,neutral,neutral,giá đỡ đẹp chắc chắn có đệm ma sát đóng gói cẩn thận
Giá hợp lý nhưng thiếu phụ kiện,negative,negative,neutral,positive,giá hợp lý nhưng thiếu phụ kiện
mát nhưng mút dày không tự nhiên,negative,neutral,neutral,neutral,mát nhưng mút dày không tự nhiên
ổn dây sạc không kéo dài được nhưng gắn dây riêng được hiện tại thấy ok,positive,neutral,neutral,neutral,ổn dây sạc không kéo dài được nhưng gắn dây riêng được hiện tại thấy ok
quần thoáng mát mềm mại bé mặc thoải mái thấm hút tốt rất tiện lợi,positive,neutral,neutral,neutral,quần thoáng mát mềm mại bé mặc thoải mái thấm hút tốt rất tiện lợi
vở đẹp giấy dày viết đẹp. đủ số lượng,positive,positive,neutral,neutral,vở đẹp giấy dày viết đẹp đủ số lượng
giá đỡ chắc và nặng tay. xoay 360 độ dễ thay đổi góc,negative,neutral,neutral,neutral,giá đỡ chắc và nặng tay xoay 360 độ dễ thay đổi góc
Gãy khung,negative,neutral,neutral,neutral,gãy khung
"sữa thơm dịu ngọt nhẹ, bé tăng cân",positive,neutral,neutral,neutral,sữa thơm dịu ngọt nhẹ bé tăng cân
chất lượng ok. tiền nào của đó không quá chắc chắn dùng tạm thì ok,neutral,neutral,neutral,positive,chất lượng ok tiền nào của đó không quá chắc chắn dùng tạm thì ok
đóng gói siêu chắc chắn mở ra kính bị vỡ tan tành không quay video mở hàng,negative,positive,neutral,neutral,đóng gói siêu chắc chắn mở ra kính bị vỡ tan tành không quay video mở hàng
hạn sử dụng xa đóng gói cẩn thận bé uống phù hợp,positive,positive,neutral,neutral,hạn sử dụng xa đóng gói cẩn thận bé uống phù hợp
âm thanh rè. bị thấm nước. giao sai màu,negative,negative,neutral,neutral,âm thanh rè bị thấm nước giao sai màu
vở đẹp. gói cẩn thận. giá rẻ,positive,neutral,neutral,positive,vở đẹp gói cẩn thận giá rẻ
tay cầm siêu tệ hư một bên chốt cứng lỏng lẻo. nhiều chỉ thừa vali khá ọp ẹp giá không ổn,negative,neutral,neutral,positive,tay cầm siêu tệ hư một bên chốt cứng lỏng lẻo nhiều chỉ thừa vali khá ọp ẹp giá không ổn
sản phẩm chắc chắn bị lỗi mất khóa kéo bên trong,negative,neutral,neutral,neutral,sản phẩm chắc chắn bị lỗi mất khóa kéo bên trong
ốp lỗi không vào được máy rất tệ,negative,neutral,neutral,neutral,ốp lỗi không vào được máy rất tệ
kém chất lượng không đúng mô tả lắp vào sát hết máy,negative,neutral,neutral,neutral,kém chất lượng không đúng mô tả lắp vào sát hết máy
tiền nào của đó rất mỏng keo dán không ăn dễ rớt không giống hình,negative,neutral,neutral,neutral,tiền nào của đó rất mỏng keo dán không ăn dễ rớt không giống hình
sữa ngon dễ uống,positive,neutral,neutral,neutral,sữa ngon dễ uống
đặt 8mm giao 6mm giao mất 10 ngày shop hoàn tiền,negative,negative,negative,neutral,đặt 8mm giao 6mm giao mất 10 ngày shop hoàn tiền
vợt đánh yếu tay cầm lỏng đã rơi màu đẹp. đóng gói cẩn thận giao hàng nhanh,negative,positive,positive,neutral,vợt đánh yếu tay cầm lỏng đã rơi màu đẹp đóng gói cẩn thận giao hàng nhanh
"đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral,đóng gói cẩn thận giao nhanh
Lần đầu tô,neutral,neutral,neutral,neutral,lần đầu tô
dây không căng vợt móp,negative,negative,neutral,neutral,dây không căng vợt móp
kh giao,negative,neutral,negative,neutral,kh giao
ốp xấu. bị ố vàng và trầy xước,negative,negative,neutral,neutral,ốp xấu bị ố vàng và trầy xước
giao hàng nhanh không móp méo săn được giá rẻ,negative,positive,positive,positive,giao hàng nhanh không móp méo săn được giá rẻ
không đúng mô tả đặt 15prm lắp không vào thất vọng,negative,neutral,neutral,neutral,không đúng mô tả đặt 15prm lắp không vào thất vọng
chất lượng sản phẩm tốt đúng mô tả bài viết sài mấy ngày bị mất,positive,neutral,neutral,neutral,chất lượng sản phẩm tốt đúng mô tả bài viết sài mấy ngày bị mất
lừa đảo sim bảo 1 năm về vài ngày vào fb tịt rồi không kiểm tra sim được,negative,neutral,neutral,neutral,lừa đảo sim bảo 1 năm về vài ngày vào fb tịt rồi không kiểm tra sim được
bung chỉ,negative,neutral,neutral,neutral,bung chỉ
đóng gói kĩ càng sản phẩm tốt,positive,positive,neutral,neutral,đóng gói kĩ càng sản phẩm tốt
sữa dinh dưỡng hiệu quả giao hàng tương đối nhanh,negative,neutral,positive,neutral,sữa dinh dưỡng hiệu quả giao hàng tương đối nhanh
chăm sóc khách hàng chu đáo tận tình. rất hài lòng với trải nghiệm mua sắm. shop tư vấn nhiệt tình hỗ trợ tốt,positive,neutral,neutral,neutral,chăm sóc khách hàng chu đáo tận tình rất hài lòng với trải nghiệm mua sắm shop tư vấn nhiệt tình hỗ trợ tốt
"sản phẩm ok, giao hàng nhanh",positive,neutral,positive,neutral,sản phẩm ok giao hàng nhanh
chất lượng tệ đểu dùng bị khựng,negative,neutral,neutral,neutral,chất lượng tệ đểu dùng bị khựng
"Form xấu, dịch vụ kém",negative,neutral,neutral,neutral,form xấu dịch vụ kém
giao hàng nhanh đóng gói cẩn thận ship nhiệt tình. chất lượng ok,positive,positive,positive,neutral,giao hàng nhanh đóng gói cẩn thận giao hàng nhiệt tình chất lượng ok
"1 bức lỗi, thiếu màu",negative,negative,neutral,neutral,1 bức lỗi thiếu màu
chưa nhận nên khbiet,neutral,neutral,neutral,neutral,chưa nhận nên khbiet
tự động mở ok nhưng đóng lúc đi mưa hắt ướt hết người. kéo cây cầm nặng,positive,neutral,neutral,neutral,tự động mở ok nhưng đóng lúc đi mưa hắt ướt hết người kéo cây cầm nặng
tiện lợi gói hàng rất kĩ giao hàng nhanh shipper dễ thương mua lần 3,positive,positive,positive,neutral,tiện lợi gói hàng rất kĩ giao hàng nhanh người giao hàng dễ thương mua lần 3
Sản phẩm: lỗi... may xấu bung chỉ,negative,neutral,neutral,neutral,sản phẩm lỗi may xấu bung chỉ
