row_id,comment,clean_comment,aspect,true_label,predicted_label,possible_reason,prediction_confidence
0,sản phẩm chắc chắn xoay mượt. giá rẻ. giao siêu nhanh,sản phẩm chắc chắn xoay mượt giá rẻ giao siêu nhanh,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.5088
4,bình thường không có gì đặc biệt mua cao cấp cũng giống loại thường,bình thường không có gì đặc biệt mua cao cấp cũng giống loại thường,gia_ca,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5044
17,ô ngắn gọn để vừa balo nhưng bề mặt cán nhám ấn mở khó. chiều dài thân ngắn không hợp đi mưa. dùng 1 thời gian đứt dây hỏng nút,ô ngắn gọn để vừa balo nhưng bề mặt cán nhám ấn mở khó chiều dài thân ngắn không hợp đi mưa dùng 1 thời gian đứt dây hỏng nút,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4822
20,hàng đẹp vải tốt mới nhận chưa dùng thử,hàng đẹp vải tốt mới nhận chưa dùng thử,chat_luong,positive,neutral,Comment mơ hồ giữa positive và neutral,0.4756
22,chất lượng tốt đúng mô tả không có sạc nhanh,chất lượng tốt đúng mô tả không có sạc nhanh,chat_luong,neutral,positive,Comment mơ hồ giữa positive và neutral,0.7435
29,bút dùng tốt không vấn đề gì,bút dùng tốt không vấn đề gì,chat_luong,positive,negative,Khác,0.4991
30,vali gọn bắt mắt khung gập không ổn lỏng lẻo xách lên dễ bung,vali gọn bắt mắt khung gập không ổn lỏng lẻo xách lên dễ bung,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.6903
37,gửi hàng kẹp 2 miếng bìa cường lực bể vỡ. nhắn tin không phản hồi,gửi hàng kẹp 2 miếng bìa cường lực bể vỡ nhắn tin không phản hồi,dong_goi,negative,neutral,Negative class quá ít nên model học chưa tốt,0.5071
39,vali không kín giá cao hơn bán ở chợ,vali không kín giá cao hơn bán ở chợ,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.6013
40,đổi bao bì mới đóng gói cẩn thận bé tăng cân,đổi bao bì mới đóng gói cẩn thận bé tăng cân,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.7492
41,vợt bình thường vì giá rẻ nhưng cầu là cầu nhựa,vợt bình thường vì giá rẻ nhưng cầu là cầu nhựa,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.4891
42,giá rẻ nhưng mút cứng,giá rẻ nhưng mút cứng,gia_ca,positive,negative,Khác,0.562
43,giao hàng không sạc pin sẵn,giao hàng không sạc pin sẵn,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.5851
43,giao hàng không sạc pin sẵn,giao hàng không sạc pin sẵn,van_chuyen,neutral,negative,Khác,0.5455
47,hương vị thơm ngon dễ uống hộp chắc chắn tiện dùng,hương vị thơm ngon dễ uống hộp chắc chắn tiện dùng,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.6142
51,đóng gói cẩn thận kĩ càng. giao hàng nhanh chóng. chân gậy hơi yếu,đóng gói cẩn thận kĩ càng giao hàng nhanh chóng chân gậy hơi yếu,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.7547
52,giao hàng nhanh đầy đủ có tặng thêm. ngòi hơi bẩn,giao hàng nhanh đầy đủ có tặng thêm ngòi hơi bẩn,dong_goi,positive,negative,Aspect không được nhắc đến rõ ràng,0.4127
56,có 4g 1 tháng hết 4g không đọc báo được luôn. mất 230k cay thật,có 4g 1 tháng hết 4g không đọc báo được luôn mất 230k cay thật,gia_ca,negative,neutral,Aspect không được nhắc đến rõ ràng,0.5433
57,mở ra miếng dán đã vỡ tan mặc dù bọc không ít xốp,mở ra miếng dán đã vỡ tan mặc dù bọc không ít xốp,dong_goi,positive,negative,Khác,0.3629
58,không đúng mô tả viền camera to trông thô kinh,không đúng mô tả viền camera to trông thô kinh,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.435
61,mau hư hơn loại khác dùng 3 ngày sứt chỉ ngày 4 hết nhạy vứt đi. shop tốt shipper nhiệt tình,mau hư hơn loại khác dùng 3 ngày sứt chỉ ngày 4 hết nhạy vứt đi shop tốt người giao hàng nhiệt tình,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.4022
61,mau hư hơn loại khác dùng 3 ngày sứt chỉ ngày 4 hết nhạy vứt đi. shop tốt shipper nhiệt tình,mau hư hơn loại khác dùng 3 ngày sứt chỉ ngày 4 hết nhạy vứt đi shop tốt người giao hàng nhiệt tình,van_chuyen,positive,negative,Comment có nhiều aspect trong một câu,0.4309
62,ghi 24 xương nhưng hóa ra loại 8 xương giá rẻ mà không ghi rõ,ghi 24 xương nhưng hóa ra loại 8 xương giá rẻ mà không ghi rõ,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.6495
64,sữa thơm béo ít ngọt bao bì chắc chắn giá vừa phải,sữa thơm béo ít ngọt bao bì chắc chắn giá vừa phải,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.5187
64,sữa thơm béo ít ngọt bao bì chắc chắn giá vừa phải,sữa thơm béo ít ngọt bao bì chắc chắn giá vừa phải,gia_ca,positive,neutral,Comment mơ hồ giữa positive và neutral,0.6185
65,"Không có đâu :))), Shop gian lận lượt đánh giá",không có đâu shop gian lận lượt đánh giá,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.6037
65,"Không có đâu :))), Shop gian lận lượt đánh giá",không có đâu shop gian lận lượt đánh giá,gia_ca,neutral,negative,Khác,0.4444
67,tập lớn bìa dày viết thoải mái. giấy mỏng dễ lem. đủ số lượng giao nhanh,tập lớn bìa dày viết thoải mái giấy mỏng dễ lem đủ số lượng giao nhanh,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.5282
67,tập lớn bìa dày viết thoải mái. giấy mỏng dễ lem. đủ số lượng giao nhanh,tập lớn bìa dày viết thoải mái giấy mỏng dễ lem đủ số lượng giao nhanh,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.502
73,"thiết kế tinh tế, hiệu suất tốt",thiết kế tinh tế hiệu suất tốt,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.5328
77,vải lông thấm hút xọc xạch phải chịu khó để ý thay tả liền không hăm tả. giao đúng mẫu khá nhanh,vải lông thấm hút xọc xạch phải chịu khó để ý thay tả liền không hăm tả giao đúng mẫu khá nhanh,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.6309
